date,x_error (m),OT,z_error (m),satclockerror (m)
05-09-2025 08:00,-0.190358367,-0.105879877,0.009774428,-4.325375905
05-09-2025 10:00,0.060726993,-0.048400804,-0.007805559,-2.650154986
05-09-2025 12:00,0.921389066,1.016061652,3.545793064,1.305687891
05-09-2025 14:00,-2.239841014,-1.996976636,1.552120149,2.248902837
05-09-2025 16:00,-0.57610292,-0.402849182,-1.351126709,3.539315793
05-09-2025 18:00,3.445733432,3.099001653,-4.695303034,2.764791874
05-09-2025 20:00,3.034154851,2.862683993,-2.96770321,-3.944828262
05-09-2025 22:00,-0.984422423,-0.855737045,0.250258381,3.314462305
06-09-2025 00:00,-0.789052434,0.115149252,8.13076666,0.979490283
06-09-2025 02:00,-1.538584944,-0.455759063,4.866609334,-0.699990956
06-09-2025 04:00,4.840288095,4.753468998,-1.527394264,0.556424695
06-09-2025 06:00,0.826502983,0.811282951,-0.75307072,0.522427481
06-09-2025 08:00,-0.142223269,-0.167870373,0.006232766,-3.179040926
06-09-2025 10:00,0.052855279,-0.113580305,0.019438772,-3.428939225
06-09-2025 16:00,2.890248884,2.821442712,-0.050691614,2.379983881
06-09-2025 18:00,1.23002591,1.303032275,-4.181735093,3.458540252
06-09-2025 20:00,1.496998135,1.386959512,-5.309914549,-0.179841568
07-09-2025 02:00,-4.786348879,-3.872190963,2.386659707,1.04705307
07-09-2025 04:00,0.251952078,0.130748905,-0.092281784,0.903190974
07-09-2025 06:00,8.244541313,5.546242166,-7.73528154,-0.357700909
07-09-2025 08:00,0.045626942,0.065158226,0.030005701,-3.217298521
07-09-2025 10:00,-0.250018228,0.031814422,0.038685842,-3.9195676
07-09-2025 12:24,-0.145956833,-2.594967455,1.253152081,-0.155402697
07-09-2025 12:40,1.363465618,2.323123861,1.107356786,0.307032086
07-09-2025 12:55,0.857263539,1.897151243,-0.01672128,0.224684554
07-09-2025 13:55,-1.114182502,-1.413112145,-1.062462122,0.033833018
07-09-2025 14:10,1.362598028,0.942209739,1.512143134,0.090002193
07-09-2025 14:25,-1.919041883,-2.462292776,-3.205857717,-0.018540095
07-09-2025 14:40,-0.635793198,-1.233301993,-1.868156075,-0.127055042
07-09-2025 14:55,2.268557727,1.846242428,2.276962528,0.291211469
07-09-2025 15:10,8.319573868,3.501874901,-3.963580414,-3.75670034
07-09-2025 15:25,-0.332173094,-0.074219514,0.192359897,0.012546734
07-09-2025 15:40,-4.059220158,0.270759042,-5.001121145,3.471503458
07-09-2025 15:56,-1.714277264,-1.773267176,-0.613497867,0.143984082
07-09-2025 16:11,-1.848180473,-2.061956622,0.791023776,-0.018540095
07-09-2025 16:25,1.603761815,0.668448102,-1.47237481,-0.127055012
07-09-2025 16:40,-1.812750213,-1.338555548,-0.661121912,0.431351911
07-09-2025 16:56,5.103116676,3.86282862,3.330169299,-0.245370444
07-09-2025 17:10,0.064913109,0.508408476,5.917634327,0.431351911
07-09-2025 17:25,1.543083701,1.349762857,2.449537576,-0.189201269
07-09-2025 17:40,7.777087234,2.059477836,3.169604971,-4.020621941
07-09-2025 18:25,-6.829490438,-0.425544251,-8.867805865,4.475467778
07-09-2025 18:41,2.212336145,1.079727076,0.303178969,0.16743034
07-09-2025 18:56,3.239193134,-3.17451052,1.190130993,-4.492324029
07-09-2025 19:10,-0.203418702,5.098094951,7.11172822,4.41765619
07-09-2025 19:26,-0.680813964,-0.423895035,1.554887583,0.260663396
07-09-2025 19:41,0.281656019,-0.380279429,-4.302852963,-0.189201299
07-09-2025 19:56,-0.028985579,-0.02741506,1.084786593,0.232310165
07-09-2025 20:11,2.893371224,3.082494229,2.490783837,0.121061651
07-09-2025 20:26,4.112459779,4.379452273,2.951507001,0.090002193
07-09-2025 20:41,3.416559547,4.322093938,-4.24724894,0.338118885
07-09-2025 22:26,-0.966826789,-0.249896981,2.249278422,0.16743034
07-09-2025 22:40,-1.139239497,-0.698137205,5.056696179,0.105256742
07-09-2025 22:56,1.625054408,1.096855775,0.083290008,0.026181505
07-09-2025 23:11,-1.557840765,-0.925473008,0.643293705,0.49297515
07-09-2025 23:26,0.15866176,-0.00730525,0.215510804,0.012023686
07-09-2025 23:41,2.508722112,2.415410932,0.520668252,0.043083144
09-07-2025 22:26,-0.966826789,-0.249896981,2.249278422,0.16743034
09-07-2025 22:40,-1.139239497,-0.698137205,5.056696179,0.105256742
09-07-2025 22:56,1.625054408,1.096855775,0.083290008,0.026181505
09-07-2025 23:11,-1.557840765,-0.925473008,0.643293705,0.49297515
09-07-2025 23:26,0.15866176,-0.00730525,0.215510804,0.012023686
09-07-2025 23:41,2.508722112,2.415410932,0.520668252,0.043083144
